# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	-5.678919e+01	1.663325e+02	-2.231217e+02	-3.894542e+02	-9.124452e+01	-2.982097e+02	1.034826e+02	1.947271e+02	-2.839460e+01	1.187345e-18	-2.839460e+01	2.839460e+01
2             	-5.751292e+01	1.663868e+02	-2.238997e+02	-3.902865e+02	-9.211763e+01	-2.981689e+02	1.030256e+02	1.951432e+02	-2.875646e+01	1.184565e-18	-2.875646e+01	2.875646e+01
3             	-5.811670e+01	1.668778e+02	-2.249945e+02	-3.918723e+02	-9.299918e+01	-2.988731e+02	1.029370e+02	1.959362e+02	-2.905835e+01	1.187636e-18	-2.905835e+01	2.905835e+01
4             	-5.860371e+01	1.677201e+02	-2.263238e+02	-3.940440e+02	-9.384699e+01	-3.001970e+02	1.031750e+02	1.970220e+02	-2.930186e+01	1.188404e-18	-2.930186e+01	2.930186e+01
5             	-5.918224e+01	1.686823e+02	-2.278646e+02	-3.965469e+02	-9.465015e+01	-3.018967e+02	1.036233e+02	1.982734e+02	-2.959112e+01	1.187499e-18	-2.959112e+01	2.959112e+01
6             	-6.010427e+01	1.689339e+02	-2.290381e+02	-3.979720e+02	-9.542251e+01	-3.025495e+02	1.035635e+02	1.989860e+02	-3.005213e+01	1.185474e-18	-3.005213e+01	3.005213e+01
7             	-6.161839e+01	1.683112e+02	-2.299296e+02	-3.982407e+02	-9.611502e+01	-3.021257e+02	1.030053e+02	1.991204e+02	-3.080919e+01	1.185148e-18	-3.080919e+01	3.080919e+01
8             	-6.356054e+01	1.670038e+02	-2.305643e+02	-3.975681e+02	-9.672232e+01	-3.008457e+02	1.020617e+02	1.987840e+02	-3.178027e+01	1.188315e-18	-3.178027e+01	3.178027e+01
9             	-6.564346e+01	1.655132e+02	-2.311567e+02	-3.966699e+02	-9.727502e+01	-2.993949e+02	1.010599e+02	1.983350e+02	-3.282173e+01	1.197746e-18	-3.282173e+01	3.282173e+01
10            	-6.768820e+01	1.641587e+02	-2.318469e+02	-3.960055e+02	-9.784701e+01	-2.981585e+02	1.001558e+02	1.980028e+02	-3.384410e+01	1.208881e-18	-3.384410e+01	3.384410e+01
11            	-6.949892e+01	1.632138e+02	-2.327128e+02	-3.959266e+02	-9.841507e+01	-2.975115e+02	9.954822e+01	1.979633e+02	-3.474946e+01	1.225508e-18	-3.474946e+01	3.474946e+01
12            	-7.099121e+01	1.630161e+02	-2.340074e+02	-3.970235e+02	-9.902633e+01	-2.979972e+02	9.948542e+01	1.985118e+02	-3.549560e+01	1.243767e-18	-3.549560e+01	3.549560e+01
13            	-7.237532e+01	1.631857e+02	-2.355610e+02	-3.987468e+02	-9.971512e+01	-2.990317e+02	9.965827e+01	1.993734e+02	-3.618766e+01	1.261890e-18	-3.618766e+01	3.618766e+01
14            	-7.363443e+01	1.639864e+02	-2.376208e+02	-4.016073e+02	-1.005329e+02	-3.010744e+02	1.002707e+02	2.008036e+02	-3.681721e+01	1.277412e-18	-3.681721e+01	3.681721e+01
